code,name,theme,sub_theme,role,priority,core,memo,current_price,change_pct,volume,volume_ratio,ma25_gap,ma75_gap,per,pbr,credit_ratio,next_earnings,score,status,note
8035,東京エレクトロン,AI・半導体,半導体製造装置,主力,A,TRUE,AI設備投資の中心企業,38250,1.8,4200000,1.6,4.2,8.5,38.5,9.2,2.1,2026/08/01,5,監視強化,
6857,アドバンテスト,AI・半導体,半導体検査装置,主力,A,TRUE,AI半導体検査需要の代表,11480,2.4,6100000,2.2,6.8,12.4,42.1,10.8,1.7,2026/07/30,5,監視強化,
6146,ディスコ,AI・半導体,精密加工装置,主力,A,TRUE,後工程需要の代表銘柄,58500,-0.6,950000,0.9,12.8,18.6,54.2,14.1,0.8,2026/08/05,3,条件待ち,
7735,SCREENホールディングス,AI・半導体,洗浄装置,主力,A,TRUE,半導体設備投資の中心,14750,0.9,2100000,1.4,3.5,7.2,31.6,4.9,1.3,2026/08/07,4,監視強化,
6315,TOWA,AI・半導体,後工程・封止,感応度,A,TRUE,先端パッケージ関連,1780,3.2,1800000,2.6,9.4,15.1,28.3,3.8,2.9,2026/08/02,5,監視強化,
4980,デクセリアルズ,AI・半導体,電子材料,感応度,A,TRUE,AI機器向け材料需要,6120,-1.1,760000,0.8,-4.6,2.5,24.7,3.2,4.1,2026/08/06,2,条件待ち,
5803,フジクラ,光通信・データセンター,光ファイバー・電線,主力,A,TRUE,データセンター・光通信の中心,9810,1.5,3900000,1.9,5.6,10.7,21.4,2.6,1.5,2026/08/08,5,監視強化,
5801,古河電気工業,光通信・データセンター,光ファイバー・電線,主力,A,TRUE,光通信インフラ代表,9280,0.7,1700000,1.3,2.1,6.9,18.8,1.4,2.2,2026/08/09,4,監視強化,
5802,住友電気工業,光通信・データセンター,光ファイバー・電線,主力,A,TRUE,光ファイバー・電力インフラ,4210,-0.3,2400000,1.1,-1.8,3.4,16.5,1.1,3.5,2026/08/01,2,条件待ち,
6834,精工技研,光通信・データセンター,光部品,感応度,A,TRUE,光コネクタ関連,4260,2.9,980000,2.4,7.9,13.5,34.6,3.9,1.9,2026/08/05,5,監視強化,
6777,santec Holdings,光通信・データセンター,光測定器,感応度,B,TRUE,光通信測定機器,6750,4.1,540000,3.1,16.2,21.8,46.8,5.4,1.2,2026/08/10,4,過熱注意,
6622,ダイヘン,データセンター・電力,受配電設備,感応度,A,TRUE,データセンター向け電力設備,8720,1.2,650000,1.7,4.8,9.1,19.7,1.6,2.6,2026/08/04,5,監視強化,
6504,富士電機,データセンター・電力,パワエレ・電源設備,主力,A,TRUE,電源設備・SiC,9340,0.4,1500000,1.2,1.6,5.8,22.5,1.8,3,2026/08/03,4,監視強化,
6617,東光高岳,データセンター・電力,変圧器,感応度,A,TRUE,変電・送配電設備,2580,2,870000,2,6.1,11.2,17.9,1.2,2.4,2026/08/06,5,監視強化,
5805,SWCC,データセンター・電力,電線,感応度,A,TRUE,電力インフラ関連,2610,-2.3,690000,0.7,-11.5,-4.2,14.8,0.9,5.2,2026/08/07,0,押し目待ち,
7011,三菱重工業,防衛・宇宙,防衛,主力,A,TRUE,防衛・宇宙の中心企業,2190,1.6,2200000,1.8,3.7,6.6,23.4,2.1,2.7,2026/08/02,5,監視強化,
7013,IHI,防衛・宇宙,航空宇宙・防衛,主力,A,TRUE,航空エンジン・防衛,10150,0.8,3100000,1.5,2.9,4.5,26.1,2.8,2,2026/08/09,5,監視強化,
6946,日本アビオニクス,防衛・宇宙,防衛電子機器,感応度,A,TRUE,防衛センサー関連,1540,-0.9,1100000,0.9,-3.2,1.8,20.4,1.5,4.6,2026/08/05,2,条件待ち,
7721,東京計器,防衛・宇宙,防衛計測機器,感応度,A,TRUE,防衛・計測,3310,2.7,920000,2.3,8.8,14.6,18.6,1.7,1.8,2026/08/08,5,監視強化,
5595,QPS研究所,防衛・宇宙,小型衛星,感応度,B,TRUE,衛星データ関連,2480,1.9,760000,1.9,5.2,8.4,15.2,1.1,2.3,2026/08/01,5,監視強化,
6506,安川電機,ロボット・AX,産業ロボット,主力,A,TRUE,FA・ロボット代表,3560,3.5,1280000,2.7,10.6,17.9,29.7,2.9,1.6,2026/08/06,5,監視強化,
6954,ファナック,ロボット・AX,産業ロボット,主力,A,TRUE,FA・自動化代表,5310,-0.5,430000,0.8,-6.8,-1.5,33.1,3.4,3.7,2026/08/11,1,調整中,
6383,ダイフク,物流・自動化,物流システム,主力,A,TRUE,物流自動化,12450,1.1,690000,1.6,4.5,9.8,24.5,2.2,1.4,2026/08/07,5,監視強化,
5016,JX金属,GX・重要鉱物,非鉄金属・半導体材料,主力,A,TRUE,重要鉱物・半導体材料,7360,0.6,830000,1.4,2.2,5.1,13.7,0.8,2.9,2026/08/04,4,監視強化,
5713,住友金属鉱山,GX・重要鉱物,非鉄金属,主力,A,TRUE,銅・ニッケル・電池材料,3190,-1.7,340000,0.6,-12.4,-6.9,39.8,4.6,6.2,2026/08/12,0,押し目待ち,
4107,伊勢化学工業,GX・重要鉱物,ヨウ素資源,感応度,B,TRUE,半導体・医薬向けヨウ素,1820,2.2,560000,2.1,6.7,10.3,16.1,1,1.9,2026/08/06,5,監視強化,
1812,鹿島建設,国土強靱化,建設,主力,B,TRUE,大型インフラ,4170,1.4,740000,1.8,4.1,7.5,21.8,1.7,2.5,2026/08/08,5,監視強化,
1801,大成建設,国土強靱化,建設,主力,B,TRUE,防災・インフラ,6800,3.8,310000,2.9,15.7,23.4,48.6,6.2,1.1,2026/08/13,4,過熱注意,
1942,関電工,国土強靱化,電気工事,感応度,B,TRUE,送配電・設備工事,3120,0.2,460000,1.1,0.8,3.3,19.9,1.3,3.1,2026/08/02,4,監視強化,
6370,栗田工業,データセンター・GX,水処理,感応度,B,TRUE,データセンター・半導体工場向け水処理,29650,1.6,2700000,1.7,5.9,11.6,35.4,7.8,1.6,2026/08/05,5,監視強化,
